iso_code,country,date,google_mobility_change_retail_and_recreation
AGO,Angola,2020-07-01,-4.0
AGO,Angola,2020-07-02,-5.0
AGO,Angola,2020-07-03,-9.0
AGO,Angola,2020-07-04,-10.0
AGO,Angola,2020-07-05,-21.0
AGO,Angola,2020-07-06,-8.0
AGO,Angola,2020-07-07,-8.0
AGO,Angola,2020-07-08,-11.0
AGO,Angola,2020-07-09,-17.0
AGO,Angola,2020-07-10,-21.0
AGO,Angola,2020-07-11,-19.0
AGO,Angola,2020-07-12,-31.0
AGO,Angola,2020-07-13,-20.0
AGO,Angola,2020-07-14,-19.0
AGO,Angola,2020-07-15,-20.0
